splus-filters/uJAVA.dat,splus-filters/F0378.dat,splus-filters/F0395.dat,splus-filters/F0410.dat,splus-filters/F0430.dat,splus-filters/gSDSS.dat,splus-filters/F0515.dat,splus-filters/rSDSS.dat,splus-filters/F0660.dat,splus-filters/iSDSS.dat,splus-filters/F0861.dat,splus-filters/zSDSS.dat
1.448207962059866283e+01,1.407151860935202059e+01,1.371045554435240099e+01,1.364189239755419969e+01,1.352541248850566369e+01,1.337406600735554285e+01,1.321377769691366844e+01,1.294394311081913607e+01,1.236633180921305986e+01,1.279409801648571054e+01,1.268905266429092116e+01,1.264289259279631317e+01
1.009328652871253418e+01,9.605372102192776040e+00,9.694112892570759143e+00,9.794279007664199455e+00,9.781184671719644896e+00,9.629738593658673906e+00,9.011195548579651771e+00,9.738672024752277778e+00,8.680483234620114175e+00,1.003639390387326280e+01,1.013264435829773369e+01,1.001258813494707134e+01
1.106990044246616200e+01,1.061966475137978883e+01,1.057365442317099458e+01,1.062057338553877095e+01,1.057637955960079346e+01,1.042177906551263611e+01,9.895457598885345263e+00,1.038345704153241478e+01,9.463936722846602478e+00,1.054376814938674123e+01,1.058115236660985126e+01,1.047166522344993744e+01
1.194937334742209067e+01,1.153634137478035093e+01,1.137293359323079933e+01,1.137692039051920112e+01,1.130741249936617088e+01,1.114947469832648430e+01,1.071657420044885889e+01,1.098603385313370673e+01,1.021227467085026142e+01,1.102416504949517950e+01,1.101040262512091239e+01,1.090903280020371646e+01
1.275440037837293694e+01,1.236622843610239109e+01,1.211141034671619288e+01,1.208192765268724678e+01,1.199080547708541467e+01,1.182412396152829892e+01,1.147182051772371558e+01,1.155223357387392191e+01,1.091967943751416392e+01,1.148295623284031386e+01,1.142426998428811835e+01,1.132812022596576007e+01
1.350947455545052556e+01,1.313004002800188807e+01,1.280870048547364526e+01,1.275266581974038438e+01,1.264180716994664344e+01,1.245870532546346077e+01,1.216598718429655612e+01,1.208899755722475255e+01,1.158278434813516533e+01,1.192508271905390949e+01,1.182619381136125902e+01,1.173232347757143934e+01
1.423392343674247407e+01,1.384928829624485225e+01,1.348017753493122406e+01,1.340196121329986134e+01,1.327208728337128285e+01,1.306489402753429196e+01,1.280940856165962494e+01,1.260311735541047007e+01,1.220163243393059282e+01,1.235471375660013216e+01,1.221904726033912603e+01,1.212468119845948955e+01
1.007985184642403986e+01,9.540845855970088607e+00,9.738344020985339355e+00,9.825252958196374564e+00,9.816977034231966215e+00,9.688463531937335560e+00,9.105277477558781030e+00,9.771792844654589416e+00,8.687918161092705205e+00,1.007693288199264536e+01,1.017417158463057980e+01,1.002110146952627012e+01
1.106080240043823615e+01,1.056963193431254489e+01,1.060068292259956557e+01,1.063954650017693915e+01,1.060011422479992582e+01,1.046923509310627232e+01,9.978780876588240645e+00,1.041920751848026505e+01,9.475473867950638507e+00,1.058656315845796136e+01,1.062233281546974872e+01,1.048487635460823775e+01
1.194403650528254879e+01,1.150045638819326932e+01,1.138626788401132650e+01,1.138669656252297635e+01,1.132183443463654449e+01,1.118729476126874367e+01,1.078811399690284922e+01,1.102446429594513155e+01,1.022882755618696216e+01,1.106875288535004209e+01,1.105130249534649955e+01,1.092637141341664453e+01
1.275182614347498777e+01,1.234198992145632623e+01,1.211513674221724024e+01,1.208538426690718914e+01,1.199872014397251085e+01,1.185455348436820877e+01,1.153190307071285226e+01,1.159314852517607086e+01,1.094194225415063393e+01,1.152889454022857585e+01,1.146495044567723376e+01,1.134894378881293697e+01
1.350869862937000399e+01,1.311410920563094784e+01,1.280626890382542804e+01,1.275210161889657989e+01,1.264548766291760806e+01,1.248395458178129580e+01,1.221614999669653834e+01,1.213205588897279519e+01,1.161105092795622973e+01,1.197198905231814869e+01,1.186670746387208375e+01,1.175599401627670737e+01
1.423422697136577320e+01,1.383869264780446606e+01,1.347402566290611681e+01,1.339896519008864395e+01,1.327313973596361585e+01,1.308677367129311442e+01,1.285181007152945831e+01,1.264793066375435338e+01,1.223571218336339150e+01,1.240227978267615150e+01,1.225943704980699955e+01,1.215061607185879033e+01
1.013760606043893553e+01,9.695496420278734817e+00,9.879717631811148593e+00,9.934827470935561067e+00,9.928366917926522817e+00,9.882328116864306011e+00,9.524760337211871430e+00,9.801287336386506510e+00,8.644659278569543304e+00,1.008045601901968347e+01,1.013038733918690504e+01,9.966231861727356645e+00
1.114409131635068739e+01,1.072283948431145895e+01,1.075023102910683725e+01,1.076877779473139007e+01,1.073129698955631106e+01,1.065607310974835009e+01,1.034932494353779298e+01,1.045932510858134812e+01,9.439191005522909350e+00,1.058648479376212315e+01,1.057450107001519690e+01,1.042464553695096718e+01
1.204887449158246859e+01,1.165228690878592666e+01,1.154240494182849552e+01,1.153118229350203983e+01,1.146836664272869477e+01,1.136664900261471978e+01,1.110828439418596680e+01,1.107432600643928033e+01,1.020119515614413253e+01,1.106559639812777895e+01,1.100019994074017582e+01,1.086150878343583592e+01
1.287216305344751710e+01,1.249270837345927454e+01,1.227595383715965660e+01,1.224046787328447117e+01,1.215600162413033125e+01,1.202714128515522951e+01,1.180593612718524277e+01,1.165127132312781733e+01,1.092431082160252664e+01,1.152318310423238579e+01,1.141128558652975222e+01,1.128022383014088881e+01
1.363894333575455597e+01,1.326405006466338854e+01,1.297012708191014418e+01,1.291399758115210084e+01,1.280976420288058470e+01,1.265104060090619775e+01,1.245227310430738932e+01,1.219671809184595368e+01,1.160410805266267609e+01,1.196418996475170893e+01,1.181108379658290097e+01,1.168415568942955751e+01
1.437034284290979436e+01,1.398814570120678447e+01,1.363975126853894615e+01,1.356502617595108795e+01,1.344174816693293018e+01,1.324967058574111256e+01,1.305948913035735082e+01,1.271747525089332420e+01,1.223928780796279803e+01,1.239277983435677832e+01,1.220234376694119227e+01,1.207631968605631378e+01
9.948008853696967080e+00,9.957807085293170601e+00,9.699088327749267435e+00,9.723023117032921547e+00,9.688750911532563848e+00,9.787352065116413868e+00,9.840049642495587889e+00,9.617903396520487647e+00,8.081589201842314552e+00,1.020530791378648949e+01,1.035656526400293309e+01,1.032378877563293251e+01
1.100091627676970951e+01,1.089764066409725451e+01,1.062119234321646566e+01,1.062624225335127015e+01,1.057324527946336268e+01,1.062199620559678515e+01,1.063289793813944151e+01,1.037085888663590971e+01,8.930454574646747190e+00,1.081815920263497866e+01,1.091345557933599686e+01,1.087683971552459461e+01
1.194645878971906860e+01,1.174706712038566714e+01,1.145631839250366291e+01,1.144648558739711852e+01,1.137988459080835746e+01,1.138507071847237562e+01,1.136231162909300174e+01,1.108076186949169717e+01,9.763365258628917687e+00,1.139386658195647151e+01,1.143938166227756348e+01,1.140026382010565520e+01
1.279997488975767261e+01,1.252511479558600094e+01,1.222110525076023357e+01,1.219832501240858669e+01,1.212013999253466601e+01,1.208658478639983791e+01,1.203526581065524859e+01,1.174575308712391042e+01,1.057454423776683150e+01,1.193422113256755601e+01,1.193579067532172822e+01,1.189461089240856317e+01
1.358641150724101188e+01,1.325367404627358248e+01,1.293583312637898963e+01,1.290034188410252902e+01,1.281018457222667983e+01,1.274027014047294237e+01,1.266283918045368218e+01,1.236739522098768340e+01,1.135729600696865482e+01,1.244295620307422290e+01,1.240553120302588219e+01,1.236193761421406201e+01
1.432951542124163957e+01,1.395095657150048574e+01,1.361811052820562118e+01,1.356926925584534693e+01,1.346560559965141657e+01,1.335956628853851491e+01,1.325684515929020257e+01,1.295023349290477377e+01,1.210476168770461136e+01,1.292494296181244628e+01,1.285232046089470437e+01,1.280523841493607584e+01
9.986112424933880405e+00,9.872240055213806542e+00,9.711444061266240269e+00,9.767286725507519307e+00,9.743131575826490476e+00,9.772521547731541247e+00,9.542274364528099184e+00,9.700705612278982315e+00,8.214368038542849249e+00,1.025922782129797461e+01,1.041350233277192139e+01,1.035935056068909965e+01
1.103696966163918525e+01,1.084656977844091763e+01,1.063409388863963834e+01,1.065634897263397995e+01,1.060766048780126702e+01,1.059446235373951062e+01,1.037883889953074323e+01,1.041498461739887382e+01,9.050292002927955437e+00,1.081145327946675927e+01,1.090172520135088696e+01,1.084937557381088702e+01
1.198077546890360345e+01,1.172609706363403070e+01,1.146963537488295692e+01,1.146416346525025354e+01,1.139640699648816557e+01,1.134640309290708693e+01,1.115008766470587354e+01,1.108436597367372123e+01,9.865522149621886783e+00,1.133024256394319274e+01,1.136430687008305718e+01,1.131345084636890697e+01
1.283303432123305932e+01,1.252666504258611191e+01,1.223469522941911158e+01,1.220649028712189299e+01,1.212258734803916660e+01,1.203900276795893198e+01,1.185888274284475763e+01,1.171006608452570141e+01,1.065347823026912444e+01,1.182031607811286555e+01,1.180511080584626349e+01,1.175457810502972755e+01
1.361866010486090239e+01,1.327019963225294852e+01,1.294958052200027687e+01,1.290195442743622145e+01,1.280265421897621358e+01,1.268599618691748354e+01,1.251429008906471019e+01,1.229637433184994855e+01,1.140725387840837790e+01,1.228694416709965331e+01,1.222814261163520833e+01,1.217629080268004138e+01
1.436126853172767603e+01,1.397667235410431807e+01,1.363193790093331792e+01,1.356668182260176359e+01,1.345151443831576010e+01,1.330042630705482587e+01,1.312827341094750189e+01,1.284951494292059415e+01,1.212079172019318385e+01,1.273519926768650201e+01,1.263713833980107815e+01,1.258206192288990444e+01
9.809817962198147612e+00,9.282854609252522593e+00,9.440465203538414229e+00,9.564811682832422335e+00,9.557296888295047310e+00,9.367985872828514360e+00,8.659271727752967607e+00,9.489005734760700861e+00,8.297019320429393829e+00,9.854340688705521600e+00,9.974706779657063649e+00,9.822588176887370182e+00
1.083985769806754895e+01,1.034964585481276877e+01,1.037314799503783114e+01,1.044088422274037775e+01,1.040053901586987273e+01,1.020804182280065397e+01,9.584740884697316332e+00,1.017322289505495725e+01,9.106292287943526631e+00,1.039191097297980626e+01,1.044740415827282654e+01,1.030892730156175041e+01
1.176577894101269983e+01,1.131967421536338314e+01,1.121736509034272622e+01,1.123749888442156397e+01,1.117067516357430002e+01,1.097942167414023906e+01,1.045336686606063559e+01,1.081234764033463058e+01,9.886641466535765588e+00,1.089765930625688917e+01,1.089668954413841995e+01,1.077007825767372218e+01
1.260505423948946380e+01,1.219517419503490352e+01,1.198890945257064722e+01,1.197136398705655402e+01,1.188252354591849347e+01,1.168971072137499156e+01,1.125742806404717022e+01,1.140999246901594155e+01,1.063124386024570533e+01,1.137673348392769945e+01,1.132657044663540979e+01,1.120908241079465562e+01
1.338245072455623053e+01,1.299256078956074312e+01,1.270811978250927332e+01,1.266103226012198313e+01,1.255258590369106564e+01,1.235089897610632725e+01,1.199616030450692428e+01,1.197213036268085240e+01,1.133445934546414158e+01,1.183447340036113182e+01,1.174093226674021118e+01,1.162939526737439699e+01
1.412031661154685658e+01,1.373389469944720709e+01,1.339313783517498457e+01,1.332203438842090115e+01,1.319493364388216428e+01,1.297568346634019854e+01,1.267608127527668849e+01,1.250568958117737317e+01,1.199322178902629510e+01,1.227577174099169177e+01,1.214323305982419932e+01,1.203440164842725402e+01
9.791131678506728164e+00,9.207862447699186603e+00,9.493899998326140732e+00,9.601976028486367554e+00,9.599780760830443072e+00,9.433914933297183225e+00,8.759533158939339259e+00,9.517091067256357562e+00,8.299723650124446905e+00,9.888889781314821548e+00,1.001222918081961133e+01,9.820067118681864216e+00
1.082494884379785738e+01,1.028815729298502468e+01,1.040789838194240424e+01,1.046458325987583926e+01,1.042945502422452542e+01,1.026199250709565725e+01,9.675353180382879614e+00,1.020359576944206914e+01,9.112102473440993222e+00,1.042854198273127331e+01,1.048385241437009263e+01,1.031106334492501553e+01
1.175451731252862153e+01,1.127270242674256373e+01,1.123586753594634224e+01,1.125000364863360325e+01,1.118825630320598741e+01,1.102219024404340253e+01,1.053250452873182574e+01,1.084531787137491143e+01,9.896466930354248959e+00,1.093602222725896489e+01,1.093223138828676078e+01,1.077653917698062536e+01
1.259670945626698035e+01,1.216130008419509245e+01,1.199519252626365962e+01,1.197568302779796845e+01,1.189169139076459025e+01,1.172321282892348471e+01,1.132437675786749942e+01,1.144557929747260694e+01,1.064594818240328244e+01,1.141645022364757089e+01,1.136137742275926321e+01,1.121937206524969177e+01
1.337612427287834471e+01,1.296875163684289056e+01,1.270618145028662305e+01,1.265991324443110067e+01,1.255604293290396889e+01,1.237747143935589911e+01,1.205162043270454753e+01,1.201012138242943372e+01,1.135467728550864486e+01,1.187518838578161073e+01,1.177516279270609267e+01,1.164293838402890735e+01
1.411525358124721130e+01,1.371690208188797477e+01,1.338607498116083327e+01,1.331753161034237642e+01,1.319474655513827877e+01,1.299749248073676533e+01,1.272187137812420765e+01,1.254574072370614779e+01,1.201919122328659917e+01,1.231718093224742283e+01,1.217702328283768942e+01,1.205061688736122072e+01
9.838057801956997750e+00,9.363343100302573774e+00,9.631993946969442888e+00,9.698938677288579058e+00,9.697331538336468881e+00,9.635004215589136223e+00,9.210380948569499182e+00,9.531748230095844931e+00,8.247792118262010419e+00,9.886941036142028238e+00,9.960088364147383189e+00,9.758821121430711898e+00
1.089880442863446142e+01,1.044275027739918649e+01,1.055505564167457955e+01,1.058343142834814721e+01,1.054915661294850260e+01,1.045613394248567651e+01,1.008133210436159821e+01,1.022852282530386780e+01,9.065298817156127953e+00,1.042149887661515173e+01,1.042561436005416375e+01,1.024230921418140206e+01
1.185328639772807868e+01,1.142638941695376964e+01,1.139100894780406925e+01,1.138729280963747748e+01,1.132655845511013304e+01,1.120798188386110006e+01,1.088827859754914051e+01,1.088040602582972305e+01,9.856378497371755643e+00,1.092447045710352960e+01,1.086887605950175306e+01,1.070102081337394928e+01
1.271482086050387927e+01,1.231420267336796037e+01,1.215640687752189741e+01,1.212661375202421787e+01,1.204385023399990295e+01,1.190080694733409494e+01,1.163005624123047177e+01,1.148989450910515764e+01,1.061413326060387341e+01,1.140107546261539362e+01,1.129388801086950345e+01,1.113802016601179723e+01
1.350729070691736844e+01,1.312107381160174135e+01,1.287153082641561674e+01,1.281999746972517862e+01,1.271762327874212950e+01,1.254802098934452026e+01,1.231277954143347309e+01,1.206218733958059097e+01,1.133235377817055856e+01,1.185666794785966083e+01,1.170443527808362383e+01,1.155673941979017449e+01
1.425442094365539880e+01,1.386884620495627907e+01,1.355403735366957996e+01,1.348336438815172578e+01,1.336233605071418928e+01,1.316249379439351053e+01,1.294739222705131887e+01,1.260388971923328860e+01,1.200692507263978293e+01,1.229611523621523439e+01,1.210382032711673794e+01,1.196051924075807271e+01
9.912705654153176837e+00,9.928609523879154963e+00,9.670199644242915227e+00,9.693909147647788771e+00,9.658910803941806122e+00,9.757864472607364448e+00,9.810387767225284605e+00,9.581407641263142594e+00,8.033025204013457099e+00,1.017629500827584899e+01,1.032913948040364183e+01,1.029486035447052750e+01
1.097210685796464524e+01,1.087512266842703035e+01,1.059917328353740551e+01,1.060386420317381884e+01,1.054997394648854758e+01,1.059880267404754584e+01,1.060932733053898325e+01,1.033904882696795546e+01,8.883460541293588975e+00,1.079402645856383280e+01,1.089062294947527398e+01,1.085234072051686205e+01
1.192379723547871784e+01,1.173026588107009083e+01,1.144030719530882401e+01,1.143009667991665701e+01,1.136263492323284474e+01,1.136769556117472568e+01,1.134450164798689009e+01,1.105408983342355533e+01,9.718550912026506339e+00,1.137457055827520058e+01,1.142107070420049730e+01,1.138020739979816476e+01
1.278216362756382019e+01,1.251252580718025520e+01,1.220963497436720679e+01,1.218656458352659477e+01,1.210772055691841409e+01,1.207399257216523658e+01,1.202233198089484212e+01,1.172428620601584193e+01,1.053265469359728179e+01,1.191941369900250258e+01,1.192168933089212324e+01,1.187877189208686524e+01
1.357190887863950657e+01,1.324385971672198714e+01,1.292743083010716454e+01,1.289178586106524982e+01,1.280124162524622555e+01,1.273125119696342544e+01,1.265366020279733483e+01,1.235079708933143117e+01,1.131915663729964372e+01,1.243206825454200803e+01,1.239515013613604033e+01,1.234989673156490220e+01
1.431705514580267113e+01,1.394283866618158108e+01,1.361162721361105987e+01,1.356276660332842532e+01,1.345897445681343463e+01,1.335303593376653275e+01,1.325035237975014901e+01,1.293786261520463832e+01,1.207116012277850281e+01,1.291730067726409992e+01,1.284507896952059447e+01,1.279645262337534994e+01
9.950040693369006206e+00,9.839331952782517376e+00,9.681015516318089098e+00,9.737847014814073887e+00,9.713540769056033142e+00,9.742507829809133213e+00,9.507384974852195469e+00,9.667064806441429070e+00,8.166663112139035618e+00,1.023603503119042379e+01,1.039354420140156954e+01,1.033722846680850260e+01
1.100702835785261335e+01,1.081998555653590977e+01,1.061008306865790907e+01,1.063315990433505753e+01,1.058417522254186416e+01,1.057032465284500766e+01,1.034961753058571254e+01,1.038611353597706177e+01,9.004516566640463182e+00,1.079255211594285235e+01,1.088548673850949378e+01,1.083105528753389812e+01
1.195662099642420095e+01,1.170525233629102679e+01,1.145123862367154466e+01,1.144639402264135164e+01,1.137832360551409927e+01,1.132760430632293058e+01,1.112664433819141330e+01,1.106036549118889134e+01,9.822352027134515495e+00,1.131515216842062976e+01,1.135130779787328414e+01,1.129854158838129585e+01
1.281343550094526229e+01,1.251025649590424571e+01,1.222054211105374044e+01,1.219282265309847268e+01,1.210870834196227541e+01,1.202453179776146719e+01,1.184067519522201373e+01,1.169065636371613870e+01,1.061367616865291730e+01,1.180842342267062683e+01,1.179481118300184939e+01,1.174258838043806996e+01
1.360216516704356771e+01,1.325681381229329681e+01,1.293829437742497568e+01,1.289108326096491020e+01,1.279173295777208885e+01,1.267472610512057507e+01,1.250034424655820864e+01,1.228097764446234841e+01,1.137156921061564852e+01,1.227761065023006459e+01,1.222001107880212523e+01,1.216669952152991918e+01
1.434668870580995481e+01,1.396517433751330550e+01,1.362244477609383075e+01,1.355758421535299441e+01,1.344252915231350265e+01,1.329137110944240696e+01,1.311750362941861603e+01,1.283740276998445928e+01,1.208980996206018155e+01,1.272783784712208011e+01,1.263069716566297451e+01,1.257437040115587301e+01
9.775078993631831636e+00,9.243644134309560556e+00,9.408900674541746056e+00,9.536067729961169803e+00,9.529178853477935363e+00,9.335376205258731019e+00,8.616684723799624024e+00,9.457786148059073028e+00,8.251231072480736728e+00,9.831283398893218006e+00,9.954710585849527504e+00,9.798555263717945607e+00
1.081132160121440400e+01,1.031627147657730070e+01,1.034786972547487416e+01,1.041814254085825375e+01,1.037823222582763272e+01,1.018103201258968760e+01,9.546537991350783514e+00,1.014663356986160814e+01,9.063144506079423124e+00,1.037262544533112951e+01,1.043048755146495843e+01,1.028827386850404046e+01
1.174292005693368601e+01,1.129256161056442131e+01,1.119767841065204017e+01,1.121984395939461443e+01,1.115331614399328863e+01,1.095775411905547791e+01,1.042045264273664351e+01,1.079022235086198300e+01,9.846865082354080201e+00,1.088163284300095590e+01,1.088238294850320820e+01,1.075245257438402824e+01
1.258655949681575414e+01,1.217369507802893658e+01,1.197350698249869971e+01,1.195748764032338407e+01,1.186889378317511579e+01,1.167258479215736422e+01,1.123022289549030184e+01,1.139184625812011298e+01,1.059552589055874883e+01,1.136337706781610812e+01,1.131438951754516786e+01,1.119405089096119177e+01
1.336688478655799805e+01,1.297540176616124974e+01,1.269563960392854263e+01,1.264969703022116043e+01,1.254151693309572657e+01,1.233727515646202555e+01,1.197442403639115760e+01,1.195729169846804929e+01,1.130329427058539871e+01,1.182321111930820301e+01,1.173042709252965388e+01,1.161650217882005443e+01
1.410654359991819184e+01,1.371966063151337956e+01,1.338249650941495794e+01,1.331229595352569639e+01,1.318551264265322054e+01,1.296456550978438393e+01,1.265901595460776896e+01,1.249344515239529052e+01,1.196677753528335764e+01,1.226609676569408514e+01,1.213401537315955103e+01,1.202321336616005532e+01
9.755820744303010272e+00,9.167488249148403767e+00,9.463441156757914641e+00,9.573994415599843322e+00,9.572485503334403845e+00,9.402153188361372926e+00,8.717604583072324331e+00,9.485281759341701147e+00,8.253424760699632046e+00,9.865122946164367690e+00,9.991789282448729992e+00,9.794724985387263771e+00
1.079576241507157341e+01,1.025347023050002981e+01,1.038361954764995509e+01,1.044247533325420640e+01,1.040783673896071626e+01,1.023579571316336079e+01,9.637962285291864717e+00,1.017635635098027969e+01,9.068331401135745651e+00,1.040850351283087427e+01,1.046638545207137305e+01,1.028906235399747082e+01
1.173097987287463617e+01,1.124427537914238151e+01,1.121691130163750749e+01,1.123276147820636872e+01,1.117136177921816476e+01,1.100118509074717288e+01,1.050048277576264333e+01,1.082251183025142360e+01,9.855944713829783765e+00,1.091921577253805786e+01,1.091727921240514299e+01,1.075756120681134398e+01
1.257754485799413580e+01,1.213864944451651873e+01,1.198020815246147386e+01,1.196199094391811535e+01,1.187829288551730222e+01,1.170653449288078995e+01,1.129802616939046978e+01,1.142675067519663834e+01,1.060936908817616064e+01,1.140229837779251021e+01,1.134847010219490393e+01,1.120300796699431878e+01
1.335991053020431174e+01,1.295062619672171600e+01,1.269385530482679947e+01,1.264857859075513424e+01,1.254501391796936183e+01,1.236407694692652193e+01,1.203058485418191204e+01,1.199461958423335695e+01,1.132256441962749172e+01,1.186312230883806329e+01,1.176386547869796750e+01,1.162874669615898249e+01
1.410085352915452894e+01,1.370188855687088569e+01,1.337540088939067751e+01,1.330766620740840800e+01,1.318522930975590235e+01,1.298642044126679274e+01,1.270528698730424288e+01,1.253286301532542701e+01,1.199175790485603876e+01,1.230669753235706843e+01,1.216696173967289418e+01,1.203816966733913851e+01
9.801489342138291150e+00,9.323041608226867893e+00,9.601146956359494666e+00,9.669447285827894589e+00,9.668372306532242888e+00,9.604099223797996743e+00,9.171831496979217846e+00,9.498242468277643624e+00,8.200568060770843104e+00,9.862597883351030603e+00,9.938761158141760532e+00,9.732854804675318050e+00
1.086845150494866452e+01,1.040820776779214363e+01,1.053046718090774014e+01,1.056001283406396318e+01,1.052608779869323463e+01,1.043084508726934878e+01,1.004793184384825544e+01,1.019949378873712398e+01,9.020402393459596269e+00,1.040069343552475623e+01,1.040698857083088491e+01,1.021941731186622881e+01
1.182893919202029132e+01,1.139817677670755991e+01,1.137190037349813743e+01,1.136909793274385017e+01,1.130857814196465405e+01,1.118781423866447078e+01,1.086046903261333263e+01,1.085580985639005469e+01,9.814506723307589553e+00,1.090670518768588515e+01,1.085251132670712515e+01,1.068087421912531276e+01
1.269531014252625489e+01,1.229182292540247268e+01,1.214144424727557414e+01,1.211234657804751258e+01,1.202975023172436231e+01,1.188480750511725681e+01,1.160763712872798159e+01,1.146935352836764999e+01,1.057598380515549685e+01,1.138578815544576450e+01,1.127934578334465421e+01,1.112021990190890186e+01
1.349113793657726212e+01,1.310325855585642252e+01,1.285937139383872285e+01,1.280839502569823019e+01,1.270621024393904541e+01,1.253511542861722283e+01,1.229499433862497604e+01,1.204509700701020769e+01,1.129849041303173784e+01,1.184331477876254546e+01,1.169131797025158370e+01,1.154087011671484753e+01
1.424036880603146393e+01,1.385416755217525697e+01,1.354363223475621147e+01,1.347344610488832295e+01,1.335266180537889191e+01,1.315173379118935593e+01,1.293321351661789187e+01,1.258955991031420929e+01,1.197763476842682628e+01,1.228422128551819092e+01,1.209179076883884996e+01,1.194618817801686639e+01
9.889307503844472436e+00,9.909185175569062309e+00,9.650961083725318801e+00,9.674520193809966528e+00,9.639040863153221395e+00,9.738220106307307944e+00,9.790621844725842848e+00,9.557174748026374900e+00,8.001034629744987470e+00,1.015693025883752831e+01,1.031080897780232597e+01,1.027554317769622649e+01
1.095296476676037933e+01,1.086010749746913540e+01,1.058446893266203226e+01,1.058891833997844678e+01,1.053443067274602818e+01,1.058330336435953534e+01,1.059357002256566638e+01,1.031786202236998840e+01,8.852469832263922811e+00,1.077786702794150919e+01,1.087531440196262800e+01,1.083593059282131144e+01
1.190872348679403281e+01,1.171906029443938202e+01,1.142960755231307424e+01,1.141914000094582171e+01,1.135109637095957247e+01,1.135606359586411962e+01,1.133256986924362231e+01,1.103626827068098670e+01,9.688952314786272169e+00,1.136161156414524065e+01,1.140875788653573331e+01,1.136673277488841016e+01
1.277032661593371365e+01,1.250414867169158306e+01,1.220198684086394714e+01,1.217871604138721686e+01,1.209942125470658958e+01,1.206556555881634374e+01,1.201366489675848648e+01,1.170990088995616851e+01,1.050493131094290966e+01,1.190944605664448197e+01,1.191218422724399240e+01,1.186810255435743322e+01
